"","system.index","SiteID","blue","blue_sd","date_unity","green","green_sd","nir","nir_sd","path","pixelCount","qa","qa_sd","red","red_sd","row","sat","swir1","swir1_sd","swir2","swir2_sd",".geo","endtime","date","date_only","chl_a","doc","p_sand","secchi","tis","tss","source","lat","long","TZID","date_utc","clouds","time","landsat_id","timediff","pwater","type","id"
"1226",288,"USGS-374248107323600",204,24.2677454533327,"1988-09-04T15:11:00Z",221,35.2880276858764,183,57.9050947672137,35,14,68,0,156,39.2534932801385,34,5,200,34.2619709453678,98,55.0261996967011,"{""type"":""Point"",""coordinates"":[-107.543948,37.7133319]}","15:11:00","1988-09-03",FALSE,NA,NA,NA,5.42544,NA,NA,"WQP",37.7133319,-107.543948,"UTC","1988-09-04T15:11:00Z",0,"1988-09-03T17:21:14Z","LT05_L1TP_035034_19880903_20161002_01_T1",21.8292319374945,92,"Lake","New"
"1227",289,"USGS-374248107323600",243,0,"1988-09-20T22:30:00Z",210,0,173.5,19.5,35,2,68,0,155.5,17.5,34,5,114,14,102,0,"{""type"":""Point"",""coordinates"":[-107.543948,37.7133319]}","22:30:00","1988-09-19",FALSE,NA,NA,NA,10.3632,NA,NA,"WQP",37.7133319,-107.543948,"UTC","1988-09-20T22:30:00Z",0,"1988-09-19T17:21:10Z","LT05_L1TP_035034_19880919_20161002_01_T1",29.1471069236265,92,"Lake","New"
"1228",78,"21COL001_WQX-11517A",548,40.075796114009,"2016-07-13T17:25:00Z",728,57.7212331333786,171,24.8289395445179,36,104,68,0,344,38.2697610612659,32,7,104,21.7910476943029,64,23.2034352690291,"{""type"":""Point"",""coordinates"":[-108.21205,40.08925]}","17:25:00","2016-07-13",FALSE,1.2,NA,NA,1.5,NA,NA,"WQP",40.08925,-108.21205,"UTC","2016-07-13T17:25:00Z",0,"2016-07-13T17:58:23Z","LE07_L1TP_036032_20160713_20160901_01_T1",-0.556548163625929,96,"Lake","New"
"1229",79,"21COL001-11517A",536,29.5338636945002,"2006-07-25T20:40:00Z",630,49.138530311248,332,39.1131064320913,36,107,68,0,442,38.8334030271835,32,5,147,49.8310710805467,85,45.2352591045864,"{""type"":""Point"",""coordinates"":[-108.21205,40.08925]}","20:40:00","2006-07-26",FALSE,NA,NA,NA,3.1,NA,NA,"WQP",40.08925,-108.21205,"UTC","2006-07-25T20:40:00Z",41,"2006-07-26T17:49:02Z","LT05_L1TP_036032_20060726_20160909_01_T1",-21.1505791719755,96,"Lake","New"
"1230",80,"21COL001_WQX-11517A",770,30.2951071806097,"2016-09-14T18:00:00Z",976,36.0100698254289,250,26.4793025433933,36,107,68,0,553,32.6965258130673,32,7,122,36.7449538366424,101,38.0777966210038,"{""type"":""Point"",""coordinates"":[-108.21205,40.08925]}","18:00:00","2016-09-15",FALSE,1.3,NA,NA,0.95,NA,NA,"WQP",40.08925,-108.21205,"UTC","2016-09-14T18:00:00Z",37,"2016-09-15T17:58:33Z","LE07_L1TP_036032_20160915_20161011_01_T1",-23.975833665861,96,"Lake","New"
"1231",84,"21COL001_WQX-11703A",444,29.4108046457,"2016-07-13T15:45:00Z",632,31.0670201447422,171,162.272977695122,36,97,68,0.397676320041227,423,52.7040054498323,32,7,104,114.702439341181,85,112.641602054207,"{""type"":""Point"",""coordinates"":[-108.71194,40.10897]}","15:45:00","2016-07-13",FALSE,2.4,NA,NA,1,NA,NA,"WQP",40.10897,-108.71194,"UTC","2016-07-13T15:45:00Z",0,"2016-07-13T17:58:23Z","LE07_L1TP_036032_20160713_20160901_01_T1",-2.2232148302926,95,"Lake","New"
"1232",85,"21COL001_WQX-11703A",481,29.7184175795807,"2016-09-14T16:00:00Z",648,38.8750581302212,210.331893960098,52.0399312273639,36,132,68,0,464.272416250891,51.1686542268826,32,7,97,35.3652981874342,75,35.7485567400851,"{""type"":""Point"",""coordinates"":[-108.71194,40.10897]}","16:00:00","2016-09-15",FALSE,3.5,NA,NA,0.8,NA,NA,"WQP",40.10897,-108.71194,"UTC","2016-09-14T16:00:00Z",37,"2016-09-15T17:58:33Z","LE07_L1TP_036032_20160915_20161011_01_T1",-25.975833665861,95,"Lake","New"
"1233",86,"21COL001-11703A",597,34.6218080646272,"2006-07-25T22:15:00Z",634.69494348602,58.4589099922664,406.28832406672,78.7431410717164,36,132,68,0,506.050475059382,69.0622531615781,32,5,172.161966463415,112.042686209578,118.453849617289,91.8874360660652,"{""type"":""Point"",""coordinates"":[-108.71193999999998,40.10897]}","22:15:00","2006-07-26",FALSE,NA,NA,NA,4.5,NA,NA,"WQP",40.10897,-108.71194,"UTC","2006-07-25T22:15:00Z",41,"2006-07-26T17:49:02Z","LT05_L1TP_036032_20060726_20160909_01_T1",-19.5672458386421,95,"Lake","New"
"1234",473,"USGS-390147108275001",1137,0,"2005-06-20T16:30:00Z",1461,0,1463,0,36,1,66,0,1358,0,33,5,1308,0,1146,0,"{""type"":""Point"",""coordinates"":[-108.4645066,39.029815299999996]}","16:30:00","2005-06-21",FALSE,0.5,NA,NA,1.524,NA,NA,"WQP",39.0298153,-108.4645066,"UTC","2005-06-20T16:30:00Z",9,"2005-06-21T17:43:49Z","LT05_L1TP_036033_20050621_20160912_01_T1",-25.2303025052945,63.5,"Lake","New"
"1235",474,"USGS-390147108275001",255,0,"2005-08-25T19:40:00Z",437,0,224,0,36,1,68,0,343,0,33,5,138,0,127,0,"{""type"":""Point"",""coordinates"":[-108.4645066,39.029815299999996]}","19:40:00","2005-08-24",FALSE,2.9,NA,NA,1.2192,NA,NA,"WQP",39.0298153,-108.4645066,"UTC","2005-08-25T19:40:00Z",1,"2005-08-24T17:44:19Z","LT05_L1TP_036033_20050824_20160912_01_T1",25.9278597205877,63.5,"Lake","New"
"1236",475,"USGS-390312108300601",536,23.0988215187603,"2005-06-21T16:00:00Z",686,84.8109007668762,473,86.6140866141299,36,3,68,0,640,39.5979797464467,33,5,288,92.2641136448331,214,40.3567425180312,"{""type"":""Point"",""coordinates"":[-108.50220249999998,39.053426099999996]}","16:00:00","2005-06-21",FALSE,2.2,NA,NA,1.8288,NA,NA,"WQP",39.0534261,-108.5022025,"UTC","2005-06-21T16:00:00Z",9,"2005-06-21T17:43:49Z","LT05_L1TP_036033_20050621_20160912_01_T1",-1.73030250529448,49,"Lake","New"
"1237",477,"USGS-390312108300601",603,8.48528137423857,"2005-08-25T18:20:00Z",966,17.4419672692667,553,44.8998886412873,36,3,68,0,927,14.142135623731,33,5,213,104.404129335109,163,43.6526695123627,"{""type"":""Point"",""coordinates"":[-108.50220249999998,39.053426099999996]}","18:20:00","2005-08-24",FALSE,5.3,NA,NA,2.1336,NA,NA,"WQP",39.0534261,-108.5022025,"UTC","2005-08-25T18:20:00Z",1,"2005-08-24T17:44:19Z","LT05_L1TP_036033_20050824_20160912_01_T1",24.5945263872544,49,"Lake","New"
"1238",478,"USGS-390319108342601",595,153.361118452694,"2005-08-23T18:20:00Z",962,262.798518307257,513,328.168448532526,36,7,68,0.699854212223871,894,284.057194585735,33,5,261,173.791688582648,197,68.0477023559089,"{""type"":""Point"",""coordinates"":[-108.57442719999999,39.0552596]}","18:20:00","2005-08-24",FALSE,3.3,NA,NA,1.0668,NA,NA,"WQP",39.0552596,-108.5744272,"UTC","2005-08-23T18:20:00Z",1,"2005-08-24T17:44:19Z","LT05_L1TP_036033_20050824_20160912_01_T1",-23.4054736127456,57,"Lake","New"
"1239",479,"USGS-390319108342601",810,181.956038646702,"2005-06-22T19:50:00Z",1119,258.527699538311,962,481.827304145799,36,7,68,0.989743318610675,1190,340.623258280512,33,5,580,225.375695410203,407,150.743734428293,"{""type"":""Point"",""coordinates"":[-108.57442719999999,39.0552596]}","19:50:00","2005-06-21",FALSE,1,NA,NA,1.2192,NA,NA,"WQP",39.0552596,-108.5744272,"UTC","2005-06-22T19:50:00Z",9,"2005-06-21T17:43:49Z","LT05_L1TP_036033_20050621_20160912_01_T1",26.1030308280389,57,"Lake","New"
"1240",480,"USGS-390333108294401",536,53.9484939548825,"2005-06-20T18:10:00Z",652,56.4850422678426,572,59.12571352635,36,10,68,0.599999999999879,530,71.7498432054035,33,5,379,62.6510973567104,246,74.9026034260492,"{""type"":""Point"",""coordinates"":[-108.4963412,39.0592594]}","18:10:00","2005-06-21",FALSE,0.9,NA,NA,3.9624,NA,NA,"WQP",39.0592594,-108.4963412,"UTC","2005-06-20T18:10:00Z",9,"2005-06-21T17:43:49Z","LT05_L1TP_036033_20050621_20160912_01_T1",-23.5636358386278,78,"Lake","New"
"1241",481,"USGS-390333108294401",291,22.7894712531905,"2005-08-25T17:20:00Z",362,29.3088723768078,262,33.7883115884769,36,10,68,0,251,20.7470479827855,33,5,138,47.1593044902064,92,52.8780672869196,"{""type"":""Point"",""coordinates"":[-108.4963412,39.0592594]}","17:20:00","2005-08-24",FALSE,4,NA,NA,3.048,NA,NA,"WQP",39.0592594,-108.4963412,"UTC","2005-08-25T17:20:00Z",1,"2005-08-24T17:44:19Z","LT05_L1TP_036033_20050824_20160912_01_T1",23.5945263872544,78,"Lake","New"
"1242",483,"USGS-390449108250601",353,0.5,"2005-06-20T20:30:00Z",468,51.5,363,16,36,2,68,0,407,28.5,33,5,262,57.5,180,48,"{""type"":""Point"",""coordinates"":[-108.4190884,39.0803147]}","20:30:00","2005-06-21",FALSE,5,NA,NA,1.524,NA,NA,"WQP",39.0803147,-108.4190884,"UTC","2005-06-20T20:30:00Z",9,"2005-06-21T17:43:49Z","LT05_L1TP_036033_20050621_20160912_01_T1",-21.2303025052945,56,"Lake","New"
